"month","site_no","NO3_Estimate","NO3_Upper","NO3_Lower"
"2019-03","usgs08164000",1305.2260864535976,2424.7069610771086,778.7870450752362
"2019-04","usgs08164000",597.6367889441485,1015.747806979534,386.0048331676512
"2019-05","usgs08164000",4803.383970209568,10104.070202518511,2591.5592052291167
"2019-06","usgs08164000",1667.3757516666426,3152.943620902706,972.6588820011253
"2019-07","usgs08164000",598.5526519107233,1129.4643491593597,353.21928627219756
"2019-08","usgs08164000",49.93479013342828,79.07153022934422,33.12016689842785
"2019-09","usgs08164000",35.7415296169815,57.96751204409496,23.052488941330786
"2019-10","usgs08164000",134.95552827350068,248.57052873015886,79.2846374165111
"2019-11","usgs08164000",305.5576651790621,554.7804780454674,183.8696581411396
"2019-12","usgs08164000",37.509160204227854,61.42859308174003,23.95527787153738
"2020-01","usgs08164000",100.34159172450087,164.05098077374828,66.69092783877755
"2020-02","usgs08164000",72.5336669882563,116.77098436295992,48.63089241524842
"2020-03","usgs08164000",761.6626447886922,1550.5259069342792,418.89475205151666
"2020-04","usgs08164000",1442.0576837156373,2997.5957009626563,774.3163065531259
"2020-05","usgs08164000",1477.1971925414543,3016.5242705808414,809.9963552522879
"2020-06","usgs08164000",1630.4588456008162,3423.769208641762,859.2463792941422
"2020-07","usgs08164000",94.68771296213647,158.71774513095573,61.27084915506772
"2020-08","usgs08164000",10.998045877482426,18.954598286499095,6.545950775779018
"2020-09","usgs08164000",1212.8636121664806,2603.202572293629,624.5378624049122
"2020-10","usgs08164000",19.398412266757145,33.28989989971923,11.784087741409946
"2020-11","usgs08164000",84.48288557577898,147.64833566081745,52.74482745429684
"2020-12","usgs08164000",281.5823667738095,560.4533702216424,157.91376111970422
"2005-01","lktexana_g",4468.477030614905,7692.335685941355,2518.7402259797536
"2005-02","lktexana_g",52361.47625876297,92279.46596717976,29518.07482401447
"2005-03","lktexana_g",51188.88267262538,88690.96691988375,28641.501703008154
"2005-04","lktexana_g",7895.481020015724,10340.5709533349,5971.181264368777
"2005-05","lktexana_g",40026.08637956871,65675.21630855852,24714.92703499084
"2005-06","lktexana_g",12240.859897257835,19945.4918710719,7563.3388868288475
"2005-07","lktexana_g",17145.979213048522,28654.48750304413,10259.867574170881
"2005-08","lktexana_g",2001.6421898607111,3008.128692915223,1343.0305358263518
"2005-09","lktexana_g",890.2265191949721,1430.0517694737973,570.115812865146
"2005-10","lktexana_g",1953.2293562565262,3238.481874503827,1192.30770789891
"2005-11","lktexana_g",460.3603259893081,737.9401193787286,292.8960607900968
"2005-12","lktexana_g",727.1489817230389,1125.536300101856,472.3038460728469
"2006-01","lktexana_g",453.7776583681354,701.2594095783511,295.63148619556284
"2006-02","lktexana_g",446.6919960381185,660.6573843776581,301.2426538032952
"2006-03","lktexana_g",203.88333184100836,296.7735785430919,139.55739250621141
"2006-04","lktexana_g",329.0292156032757,473.90456358566456,226.91859724672713
"2006-05","lktexana_g",3270.821990476293,5913.031240327839,1789.9496016790074
"2006-06","lktexana_g",1514.5391868662973,2311.4475276144635,1033.2600146326013
"2006-07","lktexana_g",4753.045793283292,7898.008317630002,2852.67021271836
"2006-08","lktexana_g",343.66694474234913,509.71613910660875,234.8825156064269
"2006-09","lktexana_g",1001.9413785196684,1757.2033328986179,575.0270146198727
"2006-10","lktexana_g",5993.7825407661985,10743.147520697352,3353.5019298050743
"2006-11","lktexana_g",166.46035555409696,273.2339972560288,102.15712939060914
"2006-12","lktexana_g",172.2376892780509,295.4880189427387,100.52290116613855
"2007-01","lktexana_g",21829.478965458195,38948.93787324343,12471.395980999632
"2007-02","lktexana_g",1440.0566852975203,2328.281600566873,912.3242027684462
"2007-03","lktexana_g",37428.53165947774,60372.108724322134,22767.198223980173
"2007-04","lktexana_g",28499.906360587844,43406.90750047443,18936.50139623275
"2007-05","lktexana_g",140574.88171770622,207914.02575666865,96846.90108306712
"2007-06","lktexana_g",9771.660653195415,15256.17208236231,6401.21680106324
"2007-07","lktexana_g",346661.0614286807,525792.9773218388,234501.1908471987
"2007-08","lktexana_g",25591.0367552053,43443.38405906934,14883.211526799552
"2007-09","lktexana_g",11542.485516348599,20476.62274266622,6378.942988723596
"2007-10","lktexana_g",8683.06575057512,14401.67466309739,5154.681058673371
"2007-11","lktexana_g",2132.025984210477,3855.9578564916155,1203.632289721825
"2007-12","lktexana_g",673.7091620474182,1034.0556478890105,435.5263795699099
"2008-01","lktexana_g",5862.126111864968,10537.30234934619,3247.0693276366164
"2008-02","lktexana_g",17562.779010176844,30135.33515047956,10389.257167705526
"2008-03","lktexana_g",17481.133109808095,28495.927745971752,10711.919320682018
"2008-04","lktexana_g",4430.000962512467,5859.685356476541,3315.4890262263916
"2008-05","lktexana_g",2297.0885064424683,3188.014801807628,1645.1166414631894
"2008-06","lktexana_g",855.7082936722447,1250.5479853403654,590.0981017092377
"2008-07","lktexana_g",1092.7172114406906,1556.6557626334545,772.63167237244
"2008-08","lktexana_g",504.414881723717,732.5517716234963,356.33950434957524
"2008-09","lktexana_g",1609.6006065630165,2837.191267550265,912.0904414434484
"2008-10","lktexana_g",294.1271594380162,489.4834091074229,177.47137918994716
"2008-11","lktexana_g",78.04334330973639,128.8128681880259,47.741197294245865
"2008-12","lktexana_g",36.253572047268094,61.599499326834135,21.545713076634552
"2009-01","lktexana_g",39.69193722520172,67.94942400885867,22.989242461806757
"2009-02","lktexana_g",67.11986966911155,112.87207938989864,38.99391123702175
"2009-03","lktexana_g",115.55769795760739,187.95638825443083,68.75945265681695
"2009-04","lktexana_g",24292.427445598125,39236.64143441066,14945.796452941413
"2009-05","lktexana_g",599.3039917483413,853.3327566798957,416.01243861051
"2009-06","lktexana_g",214.63016109322695,320.2930453902265,138.5803992056582
"2009-07","lktexana_g",127.50796795968168,194.2366419431639,81.02290501551808
"2009-08","lktexana_g",118.91412358750448,180.8567502457222,77.46891284801792
"2009-09","lktexana_g",80.41281238088852,129.18875226596032,50.72126586184189
"2009-10","lktexana_g",11364.054010784404,21231.731922494186,5791.5041670435385
"2009-11","lktexana_g",3580.9037995061367,6518.167301636029,1932.32389891467
"2009-12","lktexana_g",13910.523307023795,24955.708007715217,7551.84358912196
"2010-01","lktexana_g",22914.690807813775,40344.642775654866,13416.419631988563
"2010-02","lktexana_g",15136.723127312533,26117.748464555916,9009.102205946636
"2010-03","lktexana_g",2308.247307690009,3183.19200837057,1669.0436282940386
"2010-04","lktexana_g",3316.362265139768,4400.497409246683,2506.0402090597477
"2010-05","lktexana_g",27285.0769650021,42106.86474574225,17989.262028936206
"2010-06","lktexana_g",4906.456978036369,7424.050187271609,3403.5118289044663
"2010-07","lktexana_g",72703.11908893462,108191.36308670991,49292.16167713597
"2010-08","lktexana_g",1447.2218302888305,2046.3796732445014,1031.4643707945636
"2010-09","lktexana_g",18357.580835468063,30266.90556661668,10890.670753926272
"2010-10","lktexana_g",782.7211251154857,1266.1556418072337,487.18989889656285
"2010-11","lktexana_g",263.1047071264143,416.38226575972305,168.47205626539113
"2010-12","lktexana_g",129.35267786268608,201.6555327498583,84.37414659726751
"2011-01","lktexana_g",568.2500604173342,875.8796990595387,367.15923760729214
"2011-02","lktexana_g",520.4580550156813,808.5767413665286,342.310400853211
"2011-03","lktexana_g",209.1211413828344,321.8127799265699,138.38988881685023
"2011-04","lktexana_g",92.098726032345,140.72331976651176,59.25949494873981
"2011-05","lktexana_g",109.92653187011481,163.42614452953788,72.04975583359781
"2011-06","lktexana_g",58.57579359553294,83.9459058433431,40.21565981885968
"2011-07","lktexana_g",112.17522103950597,164.99461335637045,75.40413260634867
"2011-08","lktexana_g",89.78075265062523,135.86986449071122,58.99317298196826
"2011-09","lktexana_g",31.67984117867057,51.03093064974339,19.825406262527878
"2011-10","lktexana_g",52.178838268698065,85.75055173908439,31.97665371422808
"2011-11","lktexana_g",43.63264944484299,71.24894783463972,27.257731451302732
"2011-12","lktexana_g",23.107622274489728,37.139021787196945,14.58145824427824
