"month","site_no","TP_Estimate","TP_Upper","TP_Lower"
"2005-01","usgs08164000",5186.456061214513,6146.042552900211,4370.831417177444
"2005-02","usgs08164000",29382.865797636307,35182.017875183425,24572.296813363828
"2005-03","usgs08164000",29620.60305547611,34972.42352968036,25166.874947669647
"2005-04","usgs08164000",2561.8117084168143,2963.9820827615663,2200.2126691038825
"2005-05","usgs08164000",9627.872991717806,11481.298872847809,8114.05611124307
"2005-06","usgs08164000",3784.909771517101,4469.790254042312,3212.6210001629156
"2005-07","usgs08164000",1483.5976957942178,1721.605520768717,1283.489614169214
"2005-08","usgs08164000",830.1542557852455,950.4105971501405,728.2171496951778
"2005-09","usgs08164000",782.5745836015149,900.541779206441,680.6870744192126
"2005-10","usgs08164000",1855.5378579667317,2191.7946914302956,1567.41623534006
"2005-11","usgs08164000",450.8126916042086,513.7758721599963,393.5361908174784
"2005-12","usgs08164000",483.4679577050523,549.356146022749,423.11513374091857
"2006-01","usgs08164000",476.10954012940925,542.5718965754078,416.91316605239064
"2006-02","usgs08164000",511.3307043645981,585.9969367979112,445.9508952350867
"2006-03","usgs08164000",1671.069667008794,1960.52079326888,1427.5541037218939
"2006-04","usgs08164000",523.3121930267667,602.8101912908807,455.9279456561975
"2006-05","usgs08164000",1329.297686182181,1591.7480634452181,1112.8597646432165
"2006-06","usgs08164000",1733.296536429418,2076.278429749399,1445.1190058566433
"2006-07","usgs08164000",3677.51620603283,4406.829255757281,3069.5714435912014
"2006-08","usgs08164000",200.41538633777074,229.94628829554938,174.31468236083623
"2006-09","usgs08164000",822.8963298291962,973.4239690010787,696.5156422334105
"2006-10","usgs08164000",1578.7821749373213,1863.6196628384132,1337.6861502943798
"2006-11","usgs08164000",180.59511715186554,207.78243701459493,157.03195010398227
"2006-12","usgs08164000",304.62537130908396,350.9765019360196,265.08319172772195
