"month","site_no","TP_Estimate","TP_Upper","TP_Lower"
"2005-11","usgs08164503",5335.817110383573,6355.64232388709,4471.303389856421
"2005-12","usgs08164503",1869.6266963153766,2220.0056507213726,1572.4737433010687
"2006-01","usgs08164503",2487.7078467918136,2954.0497815901476,2088.552818572586
"2006-02","usgs08164503",1619.6689578985581,1918.6142444379489,1365.299668597075
"2006-03","usgs08164503",2434.6826817780307,2888.8419999019734,2044.4097364620939
"2006-04","usgs08164503",2887.6251589879635,3420.678473679743,2426.9414515238104
"2006-05","usgs08164503",4646.7816835674685,5507.044363800244,3906.555398239474
"2006-06","usgs08164503",4305.773652828963,5108.694571439384,3621.451155468839
"2006-07","usgs08164503",5157.8009636571705,6112.834530721387,4342.296479574744
"2006-08","usgs08164503",2142.998997975032,2533.926558695801,1805.2555019395786
"2006-09","usgs08164503",4341.773982153969,5140.380242663172,3652.722857253384
"2006-10","usgs08164503",3337.7622484239364,3949.197307459951,2814.6564846623573
"2006-11","usgs08164503",5116.019957296664,6064.969877802976,4306.334125094568
"2006-12","usgs08164503",1794.0672917633449,2120.8455952182885,1511.6205339495677
"2007-01","usgs08164503",2390.2950175102433,2827.199394022909,2011.3252149345024
"2007-02","usgs08164503",1557.7568345933596,1839.343105827367,1313.9808716189652
"2007-03","usgs08164503",2343.612806381709,2774.182731535071,1971.966288101815
"2007-04","usgs08164503",2782.805249344839,3291.785811886368,2341.0761803966197
"2007-05","usgs08164503",4482.834519000368,5302.953589649215,3777.071033494054
"2007-06","usgs08164503",4157.910813945358,4920.408904450757,3508.8595431672616
"2007-07","usgs08164503",4984.685615924629,5895.382178734962,4205.185640888575
"2007-08","usgs08164503",2073.7359870151968,2449.6056621779308,1748.594121451254
"2007-09","usgs08164503",4203.991352217565,4973.28237754839,3541.27294676007
"2007-10","usgs08164503",3235.3917528017982,3827.3878968158,2733.7155971713573
"2007-11","usgs08164503",4963.645771838275,5879.754124584355,4187.0107940254275
"2007-12","usgs08164503",1741.8000365324942,2059.9127990590678,1470.0702579071421
"2008-01","usgs08164503",2323.1434186526244,2750.7630614173413,1957.6865636962737
"2008-02","usgs08164503",1560.618842071146,1844.7654182098347,1318.3398188793421
"2008-03","usgs08164503",2329.609280083173,2759.8646639052968,1960.843634865701
"2008-04","usgs08164503",2667.2567471929287,3158.6365366481223,2245.0117385183394
"2008-05","usgs08164503",4432.345264699345,5251.854861516813,3738.3902399301664
"2008-06","usgs08164503",4018.7436723419773,4762.318783611494,3393.0155387314926
"2008-07","usgs08164503",4826.81017559641,5716.967106459797,4075.0293456349045
"2008-08","usgs08164503",2430.7846272488537,2880.9405826714387,2045.825791672747
"2008-09","usgs08164503",3728.0948828121464,4415.497139246927,3139.9460168346254
"2008-10","usgs08164503",3179.503803010958,3763.645235605149,2685.4143680617635
"2008-11","usgs08164503",4851.066875873025,5745.609965802791,4080.6660054554322
"2008-12","usgs08164503",2027.8430579104067,2396.4915336751565,1712.8465865195194
"2009-01","usgs08164503",2276.4571867737445,2692.857258240697,1917.781503330285
"2009-02","usgs08164503",1485.4169920577112,1753.9123367912284,1254.1108211971627
"2009-03","usgs08164503",2237.1747107806536,2645.3336788405277,1884.4202508786154
"2009-04","usgs08164503",2660.165774359726,3141.7141631331033,2237.761650364666
"2009-05","usgs08164503",4290.681529731216,5068.556159311756,3608.485790743735
"2009-06","usgs08164503",3984.2102979922247,4706.912954752934,3349.561685309232
"2009-07","usgs08164503",4780.823595266103,5645.603771448109,4020.961354552188
"2009-08","usgs08164503",1991.7665640712542,2351.7719456554673,1676.7516311309773
"2009-09","usgs08164503",4040.4760973173675,4771.518201443988,3395.7467853657777
"2009-10","usgs08164503",3113.194253556632,3669.739038346355,2619.769326041519
"2009-11","usgs08164503",4780.743621531366,5646.731842185463,4015.366897044652
"2009-12","usgs08164503",1678.7789010532777,1978.9776865933582,1412.5001100955433
"2010-01","usgs08164503",2241.525212613749,2640.463150438717,1885.1996108494047
"2010-02","usgs08164503",1463.1005309097634,1721.648894311999,1232.741074144802
"2010-03","usgs08164503",2204.202077224347,2596.786746445103,1853.450004588445
"2010-04","usgs08164503",2621.995310745556,3090.2494591823474,2204.6173600137736
"2010-05","usgs08164503",4230.678838061355,4986.227964444358,3558.782486897948
"2010-06","usgs08164503",3929.8563879673566,4637.246684661979,3306.451913709255
"2010-07","usgs08164503",4716.96939319509,5565.8750064231435,3969.0616343509837
"2010-08","usgs08164503",1966.0882012333716,2319.810631049766,1654.4041580620203
"2010-09","usgs08164503",3989.2795483697632,4710.6634457102555,3351.8039092057443
"2010-10","usgs08164503",3075.007324473679,3627.746849590489,2587.5870973907786
"2010-11","usgs08164503",4723.727900872545,5590.1297239578225,3959.613224290709
"2010-12","usgs08164503",1659.1783260317159,1957.3101262282064,1394.76161557359
"2011-01","usgs08164503",2216.2537285808557,2616.3348125160346,1860.2621096907387
"2011-02","usgs08164503",1447.0358037636686,1705.0920787607001,1218.068572209806
"2011-03","usgs08164503",2180.5640113765103,2574.301323984945,1829.175486072987
"2011-04","usgs08164503",2594.7677061116515,3063.075024501587,2176.1149751907205
"2011-05","usgs08164503",4188.045194501388,4948.298885955794,3512.172274545846
"2011-06","usgs08164503",3891.350591837162,4598.645635661369,3262.806617508495
"2011-07","usgs08164503",4671.820180667019,5518.394218342529,3916.592770198964
"2011-08","usgs08164503",1947.97023045661,2299.6630750408194,1635.3717387757927
"2011-09","usgs08164503",3953.179177177707,4669.881073279469,3310.315907096931
"2011-10","usgs08164503",3048.097767539494,3600.535392262595,2551.592211110339
"2011-11","usgs08164503",4683.557377641401,5544.902355051993,3909.351782440809
"2011-12","usgs08164503",1645.3692572314033,1943.3759121216665,1378.510590280565
"2012-01","usgs08164503",2198.453816093244,2597.6476230504436,1838.785254671181
"2012-02","usgs08164503",1478.8066521879846,1746.8457190181723,1239.942521724941
"2012-03","usgs08164503",2210.042830977855,2613.8291539418365,1847.4308786912643
"2012-04","usgs08164503",2534.156936661348,2996.1853684345374,2118.048834313807
"2012-05","usgs08164503",4216.901357285402,4993.7016747346015,3520.5086141957263
"2012-06","usgs08164503",3828.25378570149,4546.142416212366,3196.6968974395472
"2012-07","usgs08164503",4602.706669698061,5462.921710477483,3845.3922729512306
"2012-08","usgs08164503",2321.904492836741,2756.2044885755327,1941.5944056280516
"2012-09","usgs08164503",3563.8357947502564,4231.218700767498,2977.461344459209
"2012-10","usgs08164503",3043.6099007420466,3619.004741957347,2544.379539936225
"2012-11","usgs08164503",4649.215618989657,5535.568138330628,3875.7285216850346
"2012-12","usgs08164503",1945.4511869238595,2312.2719910362493,1629.966375038573
"2013-01","usgs08164503",2186.7971987078154,2600.6600497719423,1829.9832639382735
"2013-02","usgs08164503",1428.4194263615711,1699.0506190754738,1197.2564022525241
"2013-03","usgs08164503",2153.3331305422334,2561.139528503453,1800.7464381321
"2013-04","usgs08164503",2563.69833993952,3050.696580826325,2143.582455763074
"2013-05","usgs08164503",4139.911227395901,4923.282368401812,3466.2066511758235
"2013-06","usgs08164503",3848.3874034253504,4578.84811485232,3228.2016667496046
"2013-07","usgs08164503",4622.0191502189655,5499.632127922015,3876.160504624887
"2013-08","usgs08164503",1928.4252906100203,2293.845547932354,1615.635235743933
"2013-09","usgs08164503",3914.71883042099,4654.851468743386,3275.8823511639375
"2013-10","usgs08164503",3020.1809515286654,3590.992750658007,2533.819877392963
"2013-11","usgs08164503",4642.987720212513,5518.074994316987,3885.130676854495
"2013-12","usgs08164503",1631.7408069902358,1941.511130550973,1366.4741309902893
"2014-01","usgs08164503",2181.642017712418,2597.9918893045487,1826.753254314318
"2014-02","usgs08164503",1425.4579991397177,1698.4131374492115,1197.5902610337748
"2014-03","usgs08164503",2149.4426311257052,2561.1794103476946,1801.4004093672715
"2014-04","usgs08164503",2560.0626655117144,3050.8284225477983,2145.779888631258
"2014-05","usgs08164503",4135.659570237195,4928.667373662961,3467.1824762843767
"2014-06","usgs08164503",3845.949460418104,4584.33256601216,3217.235436216023
"2014-07","usgs08164503",4620.714491563353,5508.485341396606,3867.2350134052745
"2014-08","usgs08164503",1929.0698507716565,2299.174410093586,1615.1650028792947
"2014-09","usgs08164503",3917.266887634653,4666.648399338461,3276.648886257735
"2014-10","usgs08164503",3024.0196040347146,3606.616975650744,2528.357247574024
"2014-11","usgs08164503",4651.520282369427,5545.2182884722815,3882.1989979053365
"2014-12","usgs08164503",1635.4688144367863,1951.3807464207048,1369.2804261918056
"2015-01","usgs08164503",2188.3127813178608,2611.8081795525054,1832.107287674683
"2015-02","usgs08164503",1430.696480335604,1707.1000040557387,1198.6794636235577
"2015-03","usgs08164503",2158.575195108363,2577.2674236341363,1806.7262973461573
"2015-04","usgs08164503",2573.0461521711777,3070.176227008927,2151.9477136317846
"2015-05","usgs08164503",4159.973866067398,4970.245024716909,3471.3107570985276
"2015-06","usgs08164503",3871.59973248593,4627.804109028053,3225.257245372997
"2015-07","usgs08164503",4654.6995111239685,5562.2498325411525,3876.0152131644213
"2015-08","usgs08164503",1945.496901467042,2324.1371015073455,1617.7708638331603
"2015-09","usgs08164503",3952.8817239364594,4721.554158724849,3285.69288836708
"2015-10","usgs08164503",3054.820879104579,3653.753486299613,2538.3018572614264
"2015-11","usgs08164503",4703.3779176825665,5637.8026489783615,3898.653230706369
"2015-12","usgs08164503",1654.9091659863018,1982.5400095687705,1371.9240678627257
"2016-01","usgs08164503",2217.028993711261,2662.2904576057,1835.8693323176105
"2016-02","usgs08164503",1494.4115443633737,1793.1593152013331,1235.781430143827
"2016-03","usgs08164503",2237.679718569993,2695.0103290137054,1847.9486443983976
"2016-04","usgs08164503",2572.657532506687,3103.490627075843,2120.7325698522295
"2016-05","usgs08164503",4291.955308759291,5184.2796110945765,3531.856126279516
"2016-06","usgs08164503",3906.2364651015673,4730.867098691376,3209.2170336621116
"2016-07","usgs08164503",4706.49185473476,5706.842025845113,3863.672845437111
"2016-08","usgs08164503",2383.291321070548,2896.3447044926024,1952.4875505103143
"2016-09","usgs08164503",3664.596934535435,4459.9282941617175,3000.4988306276
"2016-10","usgs08164503",3140.1704007532894,3825.7851893709762,2567.3300345516345
"2016-11","usgs08164503",4811.203445111814,5876.388677556942,3925.287149880989
"2016-12","usgs08164503",2018.7239452688798,2467.4074767498964,1647.6730466826882
"2017-01","usgs08164503",2277.336783116269,2791.1694347931098,1856.346295561219
"2017-02","usgs08164503",1492.1139818655727,1831.1774490206228,1213.969650011544
"2017-03","usgs08164503",2255.6266372824034,2774.3563370243164,1836.5997056457827
"2017-04","usgs08164503",2696.0121094329297,3322.4608046416715,2187.642245449833
"2017-05","usgs08164503",4369.98549497264,5395.016137172128,3545.6040966297046
"2017-06","usgs08164503",4076.990963251537,5040.306011379707,3296.112308070253
"2017-07","usgs08164503",4911.762460298357,6079.7936502144885,3971.8734585348643
"2017-08","usgs08164503",2059.9222907715252,2554.0217036112895,1662.8961639972952
"2017-09","usgs08164503",4192.252135434617,5204.996602044972,3381.718395635599
"2017-10","usgs08164503",3249.690715290257,4041.5172929230116,2617.780481689122
"2017-11","usgs08164503",5016.471811537328,6241.659913948062,4027.5248362389757
"2017-12","usgs08164503",1768.5241475606283,2204.1708458948474,1421.278334597447
"2018-01","usgs08164503",2376.8155751747163,2967.6514881547605,1906.6724029786224
"2018-02","usgs08164503",1559.143868867737,1949.7065439083417,1247.5556794852316
"2018-03","usgs08164503",2359.4085750098675,2954.1994559391383,1886.5491931730896
"2018-04","usgs08164503",2823.9927534537023,3542.8312294256325,2250.6513847942797
"2018-05","usgs08164503",4583.270178982545,5756.699922710766,3646.179766013219
"2018-06","usgs08164503",4280.98625589103,5376.419605311964,3398.07129849603
