"Date","Flow","log1p_Flow","site_no","TP_Estimate","TP_Upper","TP_Lower"
2009-11-02,32.300999999999995,3.505557396986398,"usgs08164000",14.13287854705285,17.94484416663844,11.12941589747726
2009-11-03,23.901,3.214867803470662,"usgs08164000",10.483686611629153,13.406634250811777,8.135915931333262
2009-11-04,18.801000000000002,2.9856819377004897,"usgs08164000",8.19626353351945,10.454054681132284,6.363713604469586
2009-11-05,15.501,2.803360380906535,"usgs08164000",6.7289454788806236,8.566478400898635,5.221406965239967
2009-11-06,13.100999999999999,2.6461747973841225,"usgs08164000",5.6687408496532,7.227431257960758,4.400109247905679
2009-11-07,11.600999999999999,2.533696813957432,"usgs08164000",5.010401133265492,6.4049242874333325,3.886453387708145
2009-11-08,11.001,2.4849066497880004,"usgs08164000",4.745275676415939,6.066374305563594,3.6811193291976614
2009-11-09,14.301,2.72785282839839,"usgs08164000",6.1780936926682015,7.866395175192771,4.8070103464750105
2009-11-10,120.001,4.795790545596741,"usgs08164000",55.97382903541594,72.1715422152036,43.563240696945556
2009-11-11,56.001,4.04305126783455,"usgs08164000",26.314909621743947,32.45031891148308,21.47834370644441
2009-11-12,28.801000000000002,3.3945083935113587,"usgs08164000",10.572423969511936,12.316924648133828,9.022158828758297
2009-11-13,16.501,2.8622008809294686,"usgs08164000",6.33528688411587,7.505863778906049,5.298531926572991
2009-11-14,11.500999999999996,2.5257286443082556,"usgs08164000",4.774548742426205,5.8998218364267405,3.8281557907886024
2009-11-15,8.440999999999999,2.244955980157409,"usgs08164000",3.5636294003592677,4.464151000019694,2.8303554770060364
2009-11-16,7.301,2.1162555148025524,"usgs08164000",3.10083906356504,3.915505814216693,2.442542469189883
2009-11-17,4.731000000000001,1.7457155307266483,"usgs08164000",2.0125925550264814,2.556376277494478,1.5835571466559162
2009-11-18,4.001,1.6094379124341003,"usgs08164000",1.7107413322212697,2.1848569612187188,1.3332783430935802
2009-11-19,3.991,1.6074359097634274,"usgs08164000",1.7051179049967173,2.1779527933602827,1.3285602411811777
2009-11-20,50.800999999999995,3.9473901492654373,"usgs08164000",22.536417800659297,28.977777924491896,17.52074454074849
2009-11-21,2440.001,7.80016307039296,"usgs08164000",1205.4864634321748,1491.8490154330327,970.2196196789504
2009-11-22,6340.001,8.754791763700032,"usgs08164000",4806.197295682295,6884.791667635156,3423.4733086824317
2009-11-23,4260.001,8.357259153499912,"usgs08164000",3316.443199836863,5153.904021061337,2249.6745256391514
2009-11-24,429.001,6.063785208687608,"usgs08164000",323.3238514030331,469.62836607000594,227.49011245911032
2009-11-25,200.001,5.303304908059076,"usgs08164000",126.10960299713291,162.63797366603498,99.47178024810448
2009-11-26,118.001,4.77912349311153,"usgs08164000",64.38677511141104,79.16231733530344,52.01116319445034
2009-11-27,78.101,4.370712874773608,"usgs08164000",37.766540389165904,46.77194122226044,30.833608807446826
2009-11-28,56.601,4.053522567701846,"usgs08164000",24.728562655885153,29.842814712307547,20.536579475133152
2009-11-29,44.40099999999999,3.8155121050473024,"usgs08164000",17.816999403778674,20.94538876546623,15.065256933033332
2009-11-30,40.900999999999996,3.735285826928092,"usgs08164000",15.393021823293939,18.033867898569554,13.158179834445253
2009-12-01,93.801,4.551769409260976,"usgs08164000",36.61027617503116,43.04034378869571,31.13681342138879
2009-12-02,2420.001,7.791935956938058,"usgs08164000",1281.7592562715197,1597.4802492592562,1033.5011208060673
2009-12-03,1860.001,7.528869256642251,"usgs08164000",1385.4119474549184,1959.0729067383377,1003.6596722047541
2009-12-04,451.001,6.113682179832232,"usgs08164000",327.3600248005235,451.1305604785331,241.49550143463864
2009-12-05,200.001,5.303304908059076,"usgs08164000",123.65843040081474,158.5604628945026,97.83396205849702
2009-12-06,118.001,4.77912349311153,"usgs08164000",62.097443497727106,76.66585964234994,50.1386999800575
2009-12-07,97.20099999999998,4.58700621536042,"usgs08164000",44.51046466122608,54.77756934384914,36.67628582731774
2009-12-08,79.501,4.388257184424518,"usgs08164000",32.92764725615941,39.0701502558752,27.65035991998147
2009-12-09,63.501,4.1666652238017265,"usgs08164000",23.773734812626174,27.82259766240255,20.22680257062561
2009-12-10,64.501,4.182050142641207,"usgs08164000",23.6481690932036,27.769957498685464,20.28444555972083
2009-12-11,59.701,4.1059436980654525,"usgs08164000",21.678049188016317,25.37288165449111,18.60821380466936
2009-12-12,2620.001,7.8713112033234065,"usgs08164000",1058.0191069559341,1273.6710675440984,873.7450381090116
2009-12-13,2920.001,7.979681302387741,"usgs08164000",2116.061914445932,2897.294859350227,1551.835849364185
2009-12-14,707.001,6.56244409369372,"usgs08164000",509.81262493377784,700.1890962484285,375.67747554652044
2009-12-15,398.0009999999999,5.988961416889864,"usgs08164000",237.30563891760337,299.26372684464076,188.8372007594666
2009-12-16,304.001,5.720311776607412,"usgs08164000",161.61526175699754,201.18251349788983,131.26253673366898
2009-12-17,430.001,6.066108090103747,"usgs08164000",211.99719645061154,265.42327671886767,171.89390700492592
2009-12-18,1190.001,7.0825485693553,"usgs08164000",621.1615115853036,779.6645836896043,499.6621917447581
2009-12-19,719.001,6.579251212010101,"usgs08164000",429.66855921405363,542.6457576059432,342.1056314212248
2009-12-20,364.001,5.8998973535824915,"usgs08164000",193.1882499647575,240.70275433287873,156.92487154539356
2009-12-21,266.001,5.58724865840025,"usgs08164000",114.6208275251136,137.32632102055916,96.76094101042406
2009-12-22,224.001,5.41610040220442,"usgs08164000",88.81310382880294,105.2354646844253,74.9491753496218
2009-12-23,204.001,5.3230099791384085,"usgs08164000",79.33885606404336,94.52372521390495,66.90736569090103
2009-12-24,198.001,5.293304824724492,"usgs08164000",77.04466065386683,91.71564588285847,64.9841020713064
2009-12-25,231.001,5.44673737166631,"usgs08164000",90.26814004525495,107.51426314378128,76.01231919775529
2009-12-26,179.001,5.19295685089021,"usgs08164000",72.35513661787239,86.20261681351222,61.46079082549049
2009-12-27,162.001,5.093750200806762,"usgs08164000",61.717363719108896,73.62333682056851,52.20604843897385
2009-12-28,153.001,5.0369526024136295,"usgs08164000",59.03484562148926,70.32734862114464,49.977811217018804
2009-12-29,149.001,5.0106352940962555,"usgs08164000",58.42811172595717,70.15548230459166,48.93527719194881
2009-12-30,1110.001,7.01301578963963,"usgs08164000",460.7677536159403,560.9778155453856,377.652860564403
2009-12-31,3160.001,8.058643712215618,"usgs08164000",1829.6756666661283,2298.241425152103,1463.122083595133
2010-01-01,694.001,6.543911845564792,"usgs08164000",462.80083708618713,619.4336080456414,351.7416707825179
2010-01-02,353.001,5.869296913133774,"usgs08164000",181.4321172160087,227.54204483368616,147.28633667890534
2010-01-03,266.001,5.58724865840025,"usgs08164000",113.62843387565545,136.32356922462023,96.18307429446581
2010-01-04,223.001,5.4116460518550396,"usgs08164000",88.26842547177091,104.95108739229394,74.60909088509003
2010-01-05,201.001,5.308267697401205,"usgs08164000",77.26895072193263,92.44843461061328,65.10018896174573
2010-01-06,158.001,5.0689042022202315,"usgs08164000",60.669646517858254,72.53351206777604,51.316035830083806
2010-01-07,145.001,4.983606621708336,"usgs08164000",58.36913026500703,70.05425773052873,48.83236080921915
2010-01-08,130.001,4.875197323201151,"usgs08164000",53.26993393155176,64.28859117881119,44.12879550591481
2010-01-09,119.00099999999999,4.787491742782046,"usgs08164000",49.87042222206294,60.63394532912933,40.788371185109426
2010-01-10,113.001,4.736198448394496,"usgs08164000",48.25803207198563,59.62859942626059,38.79265013957804
