"year","site_no","NO3_Estimate","NO3_Upper","NO3_Lower"
2015,"usgs08164450",99998.71533162655,175315.73361649882,58929.5036472166
2016,"usgs08164450",112733.0441822126,194390.74651183613,64665.502876637984
2017,"usgs08164450",38552.113944478915,72811.04613853568,20893.67369738257
2018,"usgs08164450",19711.498870820596,33061.97479986362,12028.271590955115
2019,"usgs08164450",11901.252204700566,20897.470822874533,6908.210631774605
2020,"usgs08164450",31092.114812185726,50278.219177229716,20000.061031049998
2005,"usgs08164503",236030.00496700197,384812.7794563052,147963.1355632358
2006,"usgs08164503",56259.89605645037,95998.85090429147,32795.48331078459
2007,"usgs08164503",252602.24698145821,415051.1822431908,151061.0629637
2008,"usgs08164503",81954.71759184613,119952.22608295745,56272.13648979663
2009,"usgs08164503",78856.17676166502,118477.66832854526,53291.59085428858
2010,"usgs08164503",96151.47502041125,155519.14835492437,58945.73548837343
2011,"usgs08164503",3900.589050846626,5700.775059315986,2677.085697391647
2012,"usgs08164503",91799.42523841647,141136.01653946377,60621.62244001878
2013,"usgs08164503",72351.6322176201,116525.08698806025,45528.21445519047
2014,"usgs08164503",113992.83726469077,171779.12153755355,75902.10102605914
2015,"usgs08164503",200534.41528795613,324080.74278240284,126155.95189524278
2016,"usgs08164503",77072.87721714773,125764.85920540446,47653.315644990435
2017,"usgs08164503",196463.3452150154,316192.51906586735,124890.18879491277
2018,"usgs08164503",34500.644388961235,56909.07056202118,20969.6841808722
2019,"usgs08164503",65268.44633646026,103556.29223847218,41661.19456400934
2020,"usgs08164503",89402.61449074619,152385.06800722654,53639.36625602687
2005,"usgs08164504",55417.763779547015,132347.11565734367,24163.465579598716
2006,"usgs08164504",16567.22381423094,40065.550561195865,7135.648400143697
2007,"usgs08164504",396486.1923025187,728756.0349513097,222207.93674756013
2008,"usgs08164504",94079.25970771734,146025.0711946335,65496.7995160692
2009,"usgs08164504",83180.62252181518,182731.41916919462,39378.5875717944
2010,"usgs08164504",110277.35854919655,209377.09017545247,57151.30954554491
2011,"usgs08164504",7337.393228817354,13863.94463763804,4068.126699808733
2012,"usgs08164504",426695.1665002602,842653.7011835116,220662.59531366074
2013,"usgs08164504",149935.4916094089,290612.40503923123,78200.68891870654
2014,"usgs08164504",171277.35303494835,349035.11489992175,84889.76654906322
2015,"usgs08164504",756779.4237139991,1528899.7680386852,391660.61654530314
2016,"usgs08164504",604321.3637599628,939449.3922445534,392190.33905247145
2017,"usgs08164504",519917.6607290181,956961.934962842,294996.50088212144
2018,"usgs08164504",67741.33474687012,136696.95191861934,34180.654619223336
2019,"usgs08164504",51559.7688352803,105501.16749785005,25420.32100861649
2020,"usgs08164504",194283.64074812416,452650.65928072017,90875.14309444925
